date,value
34:00.0,1
34:00.0,1
34:00.0,1
35:00.0,1
35:00.0,1
36:00.0,1
36:00.0,1
36:00.0,1
37:00.0,1
37:00.0,1
37:00.0,1
38:00.0,1
38:00.0,1
39:00.0,1
39:00.0,1
39:00.0,1
40:00.0,1
40:00.0,1
40:00.0,1
41:00.0,1
41:00.0,1
41:00.0,1
42:00.0,1
42:00.0,1
43:00.0,1
43:00.0,1
43:00.0,1
44:00.0,1
44:00.0,1
44:00.0,1
45:00.0,4
45:00.0,1
45:00.0,3
46:00.0,2
46:00.0,4
46:00.0,4
47:00.0,1
47:00.0,1
47:00.0,2
48:00.0,1
48:00.0,1
49:00.0,1
49:00.0,1
49:00.0,1
50:00.0,1
50:00.0,2
50:00.0,2
51:00.0,1
51:00.0,1
52:00.0,1
52:00.0,1
53:00.0,1
53:00.0,2
53:00.0,1
54:00.0,1
54:00.0,1
54:00.0,1
55:00.0,1
55:00.0,1
55:00.0,1
56:00.0,1
56:00.0,1
56:00.0,1
57:00.0,1
57:00.0,1
57:00.0,1
58:00.0,1
58:00.0,1
58:00.0,1
59:00.0,1
59:00.0,1
59:00.0,1
00:00.0,1
00:00.0,1
00:00.0,1
01:00.0,1
01:00.0,1
01:00.0,1
02:00.0,1
02:00.0,1
03:00.0,1
03:00.0,1
04:00.0,1
04:00.0,1
04:00.0,1
05:00.0,1
05:00.0,1
05:00.0,1
06:00.0,1
06:00.0,1
06:00.0,1
07:00.0,1
07:00.0,1
08:00.0,1
08:00.0,4
08:00.0,1
09:00.0,1
09:00.0,1
10:00.0,1
10:00.0,1
10:00.0,1
11:00.0,1
11:00.0,1
11:00.0,1
12:00.0,1
12:00.0,2
12:00.0,1
13:00.0,1
13:00.0,1
13:00.0,2
14:00.0,1
14:00.0,1
14:00.0,1
15:00.0,1
15:00.0,2
15:00.0,1
16:00.0,1
16:00.0,1
16:00.0,2
17:00.0,1
17:00.0,1
17:00.0,1
18:00.0,1
18:00.0,1
19:00.0,1
19:00.0,1
19:00.0,1
20:00.0,1
20:00.0,1
20:00.0,2
21:00.0,1
21:00.0,1
21:00.0,1
22:00.0,1
22:00.0,1
23:00.0,1
23:00.0,1
23:00.0,1
24:00.0,3
24:00.0,3
24:00.0,2
25:00.0,3
25:00.0,1
25:00.0,1
26:00.0,1
26:00.0,1
27:00.0,1
27:00.0,1
27:00.0,1
28:00.0,1
28:00.0,1
29:00.0,1
29:00.0,1
29:00.0,1
30:00.0,1
30:00.0,1
30:00.0,1
31:00.0,4
31:00.0,3
31:00.0,1
32:00.0,2
32:00.0,1
33:00.0,2
33:00.0,2
33:00.0,2
34:00.0,2
34:00.0,1
34:00.0,1
35:00.0,1
35:00.0,1
35:00.0,1
36:00.0,3
36:00.0,1
36:00.0,3
37:00.0,1
37:00.0,1
37:00.0,1
38:00.0,1
38:00.0,1
39:00.0,1
39:00.0,1
39:00.0,1
40:00.0,4
40:00.0,1
41:00.0,1
42:00.0,4
42:00.0,1
42:00.0,4
43:00.0,1
43:00.0,1
44:00.0,1
44:00.0,1
44:00.0,1
45:00.0,1
45:00.0,1
45:00.0,1
46:00.0,1
46:00.0,1
46:00.0,1
47:00.0,1
47:00.0,1
48:00.0,1
48:00.0,1
48:00.0,1
49:00.0,1
49:00.0,1
49:00.0,1
50:00.0,1
50:00.0,3
50:00.0,1
51:00.0,2
51:00.0,1
51:00.0,1
52:00.0,1
52:00.0,1
52:00.0,1
53:00.0,1
53:00.0,1
54:00.0,3
54:00.0,2
54:00.0,3
55:00.0,2
55:00.0,1
55:00.0,1
56:00.0,1
56:00.0,1
56:00.0,1
57:00.0,1
57:00.0,1
58:00.0,1
58:00.0,1
58:00.0,1
59:00.0,1
59:00.0,1
59:00.0,1
00:00.0,1
00:00.0,3
01:00.0,1
01:00.0,1
01:00.0,1
02:00.0,1
02:00.0,1
02:00.0,1
03:00.0,1
03:00.0,1
03:00.0,1
04:00.0,1
04:00.0,1
05:00.0,1
05:00.0,1
05:00.0,1
06:00.0,1
06:00.0,1
06:00.0,1
07:00.0,1
07:00.0,1
07:00.0,1
08:00.0,2
08:00.0,1
08:00.0,1
09:00.0,4
09:00.0,4
09:00.0,2
10:00.0,1
10:00.0,1
10:00.0,1
11:00.0,1
11:00.0,1
11:00.0,1
12:00.0,1
12:00.0,1
13:00.0,3
13:00.0,1
13:00.0,3
14:00.0,1
14:00.0,1
14:00.0,1
15:00.0,1
15:00.0,1
15:00.0,1
16:00.0,1
16:00.0,1
16:00.0,1
17:00.0,1
17:00.0,1
18:00.0,1
18:00.0,1
18:00.0,1
19:00.0,4
19:00.0,4
19:00.0,1
20:00.0,1
20:00.0,1
20:00.0,1
21:00.0,1
21:00.0,1
21:00.0,1
22:00.0,1
22:00.0,1
22:00.0,1
23:00.0,1
23:00.0,1
23:00.0,1
24:00.0,1
24:00.0,4
24:00.0,4
25:00.0,5
25:00.0,1
26:00.0,1
26:00.0,1
26:00.0,1
27:00.0,1
27:00.0,1
27:00.0,1
28:00.0,1
28:00.0,1
29:00.0,1
29:00.0,1
29:00.0,1
30:00.0,1
30:00.0,1
30:00.0,1
31:00.0,1
31:00.0,1
31:00.0,1
32:00.0,1
32:00.0,1
33:00.0,1
33:00.0,3
33:00.0,1
34:00.0,1
34:00.0,2
34:00.0,1
35:00.0,1
35:00.0,2
35:00.0,1
36:00.0,3
36:00.0,1
37:00.0,1
37:00.0,1
38:00.0,1
38:00.0,1
39:00.0,1
39:00.0,1
39:00.0,1
40:00.0,1
40:00.0,1
41:00.0,1
41:00.0,1
41:00.0,1
42:00.0,1
42:00.0,2
42:00.0,2
43:00.0,1
43:00.0,1
43:00.0,1
44:00.0,1
44:00.0,1
44:00.0,1
45:00.0,1
45:00.0,1
46:00.0,1
46:00.0,4
46:00.0,4
47:00.0,2
47:00.0,1
48:00.0,2
48:00.0,1
49:00.0,1
49:00.0,1
49:00.0,1
50:00.0,1
50:00.0,1
51:00.0,1
51:00.0,1
51:00.0,1
52:00.0,1
52:00.0,1
52:00.0,1
53:00.0,1
53:00.0,1
53:00.0,1
54:00.0,1
54:00.0,1
54:00.0,1
55:00.0,1
55:00.0,1
55:00.0,1
56:00.0,1
56:00.0,1
56:00.0,1
57:00.0,1
57:00.0,1
58:00.0,1
58:00.0,2
58:00.0,2
59:00.0,1
59:00.0,1
00:00.0,1
00:00.0,1
01:00.0,1
01:00.0,1
01:00.0,1
02:00.0,1
02:00.0,1
02:00.0,1
03:00.0,1
03:00.0,1
03:00.0,1
04:00.0,1
04:00.0,1
04:00.0,1
05:00.0,1
05:00.0,1
05:00.0,1
06:00.0,1
06:00.0,1
06:00.0,1
07:00.0,1
07:00.0,1
07:00.0,1
08:00.0,1
08:00.0,1
08:00.0,1
09:00.0,1
09:00.0,1
09:00.0,1
10:00.0,1
10:00.0,1
11:00.0,1
11:00.0,1
12:00.0,1
12:00.0,1
12:00.0,1
13:00.0,2
13:00.0,1
13:00.0,1
14:00.0,1
14:00.0,1
14:00.0,1
15:00.0,1
15:00.0,2
15:00.0,1
16:00.0,2
16:00.0,1
16:00.0,1
17:00.0,1
17:00.0,1
18:00.0,1
18:00.0,1
19:00.0,2
19:00.0,1
19:00.0,1
20:00.0,1
20:00.0,1
20:00.0,1
21:00.0,1
21:00.0,1
21:00.0,1
22:00.0,1
22:00.0,2
22:00.0,2
23:00.0,1
23:00.0,1
24:00.0,4
24:00.0,1
24:00.0,4
25:00.0,1
25:00.0,4
26:00.0,1
26:00.0,1
26:00.0,1
27:00.0,1
27:00.0,1
27:00.0,2
28:00.0,1
28:00.0,3
28:00.0,1
29:00.0,2
29:00.0,1
29:00.0,1
30:00.0,1
30:00.0,1
31:00.0,1
31:00.0,1
31:00.0,1
32:00.0,2
32:00.0,1
32:00.0,1
33:00.0,1
33:00.0,1
33:00.0,1
34:00.0,2
34:00.0,1
34:00.0,3
35:00.0,2
35:00.0,1
35:00.0,1
36:00.0,1
36:00.0,1
36:00.0,2
37:00.0,2
37:00.0,1
38:00.0,1
38:00.0,1
38:00.0,1
39:00.0,1
39:00.0,1
39:00.0,1
40:00.0,1
40:00.0,1
40:00.0,1
41:00.0,1
41:00.0,1
41:00.0,1
42:00.0,2
42:00.0,1
42:00.0,1
43:00.0,1
43:00.0,2
43:00.0,2
44:00.0,3
44:00.0,1
44:00.0,3
45:00.0,1
45:00.0,3
45:00.0,1
46:00.0,1
46:00.0,1
46:00.0,1
47:00.0,1
47:00.0,1
47:00.0,1
48:00.0,1
48:00.0,1
49:00.0,1
49:00.0,1
49:00.0,1
50:00.0,1
50:00.0,1
51:00.0,1
51:00.0,1
52:00.0,1
52:00.0,1
52:00.0,1
53:00.0,1
53:00.0,1
53:00.0,1
54:00.0,1
54:00.0,1
54:00.0,1
55:00.0,1
55:00.0,1
55:00.0,1
56:00.0,3
56:00.0,1
56:00.0,1
57:00.0,1
57:00.0,1
57:00.0,21
58:00.0,1
58:00.0,9
58:00.0,1
59:00.0,3
59:00.0,1
59:00.0,1
00:00.0,5
00:00.0,1
01:00.0,5
01:00.0,2
02:00.0,7
02:00.0,1
02:00.0,1
03:00.0,1
03:00.0,1
03:00.0,12
04:00.0,1
04:00.0,22
04:00.0,1
05:00.0,7
05:00.0,1
06:00.0,1
06:00.0,1
07:00.0,2
07:00.0,1
07:00.0,5
08:00.0,1
08:00.0,4
08:00.0,1
09:00.0,6
09:00.0,1
10:00.0,3
10:00.0,1
11:00.0,1
12:00.0,1
12:00.0,1
13:00.0,3
13:00.0,2
13:00.0,5
14:00.0,2
14:00.0,11
14:00.0,2
15:00.0,13
15:00.0,3
15:00.0,1
16:00.0,1
16:00.0,2
16:00.0,13
17:00.0,1
17:00.0,11
18:00.0,1
18:00.0,8
18:00.0,1
19:00.0,11
19:00.0,1
20:00.0,11
20:00.0,1
20:00.0,1
21:00.0,1
21:00.0,16
22:00.0,1
22:00.0,11
22:00.0,1
23:00.0,9
23:00.0,1
23:00.0,1
24:00.0,1
24:00.0,1
